org,repo,score,issue_open_close_ratio,num_open_pr,pr_open_duration,num_contributors,comments_per_pr,commit_per_dev,num_releases,num_commits,issue_open_user,issue_open_duration
daenamkim,b9lab-remittance,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0
ademoban,VYTrackPartIII,0.87179476,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0
Azure,azure-rest-api-specs,0.8569254,0.0,0.0,145.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0
flutter,flutter,0.84697384,4.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,8.0,991.0
jpcanty87,JJ,0.84615386,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0
department-of-veterans-affairs,va.gov-cms,0.83653843,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0
xamarin,monodroid-samples,0.8333333,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
wiredtiger,wiredtiger,0.8333333,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0
Azure,iotedge,0.8329771,0.0,0.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
NREL,EnergyPlus,0.8205127,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0
solana-labs,solana,0.81905586,0.0,2.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Azure,azure-sdk-for-python,0.8188062,3.0,1.0,113.0,3.0,1.0,0.0,0.0,0.0,2.0,393.0
xamarin,xamarin-macios,0.8171651,0.0,0.0,2.0,1.0,2.0,4.0,0.0,4.0,0.0,0.0
PaddlePaddle,Paddle,0.8139967,1.0,0.0,478.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0
kokidrany,hello-world,0.8108974,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0
streamich,ci-scripts,0.81088656,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0
apple,swift,0.80952466,0.0,2.0,17.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0
UNDataForum,gatsby-themes,0.80768037,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,4.0
MicrosoftDocs,azure-docs,0.80686975,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0
webdevatlanta,MemberDirectory,0.80271,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
tensorflow,tensorflow,0.80193824,5.0,1.0,201.0,1.0,4.0,0.0,0.0,0.0,5.0,46.0
aimergenge,dc-cims-client,0.79487175,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
m3llington,Project-1,0.7916666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
oslabs-beta,Swell,0.7916666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
lambda-prisoner-skills,PrisonerSkill,0.7916666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Michch333,EventAngularProject,0.7916666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Marthox1999,Nova,0.7916666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
build-week-sixr-virtual-reality,Front-end,0.7916666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
dchicchon,project-3,0.7916666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
stephenchu530,parley-app,0.7916666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
pi-H20,pi-front-end,0.7916666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
reception-bot,Notifly,0.7916666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
hieunguyen2211,Recruitment,0.7916666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott09,decision_maker,0.7916666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
rachaelbelle,goldstar,0.79165584,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
ApolloAuto,apollo,0.791645,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
burichazuke,freemarket_sample_54a,0.79148316,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
